region,year,mean,sdev
GUY,2000-2019,-3.569273286726484e-08,2.3450429059053157e-06
BLM,2000-2019,-2.3064490823374546e-06,2.8950369203794283e-06
SVN,2000-2019,1.1200054177837001e-05,7.2673261062712143e-06
CUW,2000-2019,-3.0704076919733243e-07,3.4986276766753062e-06
BVT,2000-2019,nan,nan
DZA,2000-2019,1.4862319600517115e-06,2.7327339710357624e-06
MOZ,2000-2019,-7.0599755149585426e-07,1.7017280747340056e-06
IMN,2000-2019,3.1678933623203212e-06,4.0544821204578368e-06
CHE,2000-2019,1.2324444644113903e-05,8.1824966409540264e-06
COG,2000-2019,-1.0558050268385833e-06,1.7894611179568184e-06
TUV,2000-2019,-1.051229058609995e-06,3.3724102523528235e-06
VIR,2000-2019,-1.5591693230478335e-06,2.8476819520148062e-06
HUN,2000-2019,7.4799793311624737e-06,5.4543770971637112e-06
SPM,2000-2019,8.7106883336699101e-06,1.0217909733570611e-05
FUND-SAS,2000-2019,1.7847268155607729e-06,2.8514241642751001e-06
GRC,2000-2019,6.622857904663574e-07,2.6780957817884391e-06
JPN,2000-2019,2.7085171887071383e-06,2.9194384333303885e-06
CHL,2000-2019,8.8118164177918913e-07,2.0940476889845559e-06
AUT,2000-2019,1.3270958596413158e-05,8.0343453363467935e-06
LKA,2000-2019,-6.7250457143440887e-07,1.7739223904728231e-06
NCL,2000-2019,-3.6809372546491775e-06,3.1665940541847105e-06
FUND-SIS,2000-2019,-2.0838718815781199e-06,2.2183448741235943e-06
FLK,2000-2019,2.8962810501673261e-06,5.2234958390437059e-06
NRU,2000-2019,-1.7948334400587245e-06,6.2813057306936892e-06
BLZ,2000-2019,-2.6649011782667662e-06,3.2501013925797178e-06
FRO,2000-2019,1.7485558572021321e-06,1.0225605867244368e-05
GEO,2000-2019,4.4910531323718262e-06,5.8020474553756917e-06
ALB,2000-2019,3.6623021354833571e-06,4.3413929128221634e-06
TKL,2000-2019,-7.2845450892608625e-07,3.8091712659377088e-06
VEN,2000-2019,-2.8395157397144046e-06,3.5191329552773556e-06
MDG,2000-2019,-1.6825064850380545e-06,1.6696605983319047e-06
EST,2000-2019,1.3623572228284617e-05,1.4433171490414024e-05
SGP,2000-2019,-2.9697539911206111e-06,3.1106853778210209e-06
FUND-FSU,2000-2019,1.2620579690030391e-05,1.0838919867317747e-05
FRA,2000-2019,6.1582030818928763e-06,4.7849314700987722e-06
NPL,2000-2019,1.0105593920759784e-06,2.4092253634403173e-06
KOR,2000-2019,7.0798819155740015e-06,7.1170874105317739e-06
ARM,2000-2019,6.3809966734107759e-06,7.5655757692338096e-06
ARG,2000-2019,-9.0746819977795872e-07,1.8044231076913509e-06
ASM,2000-2019,-1.8969756384549761e-06,2.6881935639865333e-06
IDN,2000-2019,-2.8871300410735236e-07,1.2551695560033904e-06
SVK,2000-2019,1.2335662694101725e-05,7.7807858060257063e-06
CZE,2000-2019,1.156610366919917e-05,8.0939114601849558e-06
CYM,2000-2019,-1.3413705025570473e-06,2.8240504900178804e-06
TCA,2000-2019,-9.2163149951699335e-07,2.1651097176300847e-06
MHL,2000-2019,-1.1676416577590676e-06,2.9125949627462174e-06
MNE,2000-2019,6.5827782192111388e-06,5.5723205526099916e-06
FSM,2000-2019,-8.9877709530403189e-07,2.6200950669960915e-06
PRY,2000-2019,-1.4128923713967856e-06,2.205180632693848e-06
PAN,2000-2019,-3.3474187706933846e-06,4.3347328262685997e-06
HND,2000-2019,-2.0980157192711226e-06,1.8620187992687123e-06
AND,2000-2019,1.114642259745429e-05,9.7316732688182876e-06
BHS,2000-2019,-4.5143458397344598e-06,3.6837446610105245e-06
SHN,2000-2019,5.8547172957466102e-08,1.8457475081171685e-06
TON,2000-2019,-2.3623117674355628e-06,2.5688242257141356e-06
MAF,2000-2019,-1.7757390952713151e-06,3.1637692426513388e-06
CRI,2000-2019,-2.6519314554456209e-06,3.485285791372651e-06
AUS,2000-2019,-4.6183392807630595e-06,2.9844298312091096e-06
BES,2000-2019,-2.2060760610047728e-06,2.9480457200044802e-06
ATF,2000-2019,nan,nan
SLB,2000-2019,-6.0511323803192879e-07,1.1985627775734661e-06
TCD,2000-2019,3.9173934130743209e-06,3.9008357317686986e-06
POL,2000-2019,1.0346798718677884e-05,8.2612754385975513e-06
SWE,2000-2019,1.1934408604754518e-05,1.1991833206004167e-05
SAU,2000-2019,-5.8256697662661824e-06,4.8175100520188792e-06
UZB,2000-2019,3.7957767568124296e-06,4.414416597696619e-06
THA,2000-2019,-1.1694491963720265e-06,3.3593800352143172e-06
MSR,2000-2019,-1.7688144605565805e-06,2.5384585402981347e-06
NLD,2000-2019,6.2768802620633705e-06,6.3688441854200762e-06
COM,2000-2019,-6.7381925934162342e-07,1.3342294604430264e-06
CUB,2000-2019,-2.0108998679205238e-06,2.9437967220980642e-06
SWZ,2000-2019,-2.0036988535805584e-06,2.4206598349909957e-06
ESH,2000-2019,-2.1937862839168153e-06,2.5441154284762104e-06
BRN,2000-2019,-3.5290894558134225e-06,3.0264455549617036e-06
NZL,2000-2019,1.8896148587806008e-06,2.5994762890310803e-06
YEM,2000-2019,-3.9563669432918526e-07,1.9750998845641243e-06
JEY,2000-2019,2.2218130374670034e-06,3.575755345323383e-06
AIA,2000-2019,-1.768977958129447e-06,3.1612548916029529e-06
NFK,2000-2019,-5.809925338037368e-07,2.568155938730988e-06
MAR,2000-2019,3.8221198080942481e-09,2.4348292048644268e-06
BIH,2000-2019,6.1076237003521851e-06,5.619721202674551e-06
URY,2000-2019,-5.3013293956738456e-07,1.7821793729110362e-06
CL-,2000-2019,nan,nan
ISR,2000-2019,-6.599081163405592e-06,5.7646521792277167e-06
GTM,2000-2019,-1.76627089907728e-06,2.0344450630476025e-06
GHA,2000-2019,1.1626007138325716e-06,2.1627382763050792e-06
SMR,2000-2019,4.8815388952771237e-06,5.1863331052374173e-06
FUND-LAM,2000-2019,-1.9370596595024942e-06,2.0069381255027529e-06
PYF,2000-2019,-2.3764724387637427e-06,4.6995592464837935e-06
PRT,2000-2019,9.1077967964360423e-07,2.3183677603281614e-06
SMX,2000-2019,-1.7822492821843611e-06,3.1349375733578922e-06
PLW,2000-2019,-7.3927508466639957e-07,2.5497812884011027e-06
UKR,2000-2019,7.8385955796463174e-06,7.4809435664239159e-06
AFG,2000-2019,4.9412474532058098e-06,5.2452099078673429e-06
NER,2000-2019,6.6228625775735148e-06,6.529241442779529e-06
ALA,2000-2019,7.829995190707409e-06,1.2121281334218393e-05
FUND-MAF,2000-2019,1.4615263759854968e-06,2.7159431928113738e-06
CXR,2000-2019,-4.5506230775604213e-07,2.3192524244918256e-06
KEN,2000-2019,-1.3015806136986252e-06,1.4707667998285286e-06
CIV,2000-2019,3.541964101715934e-07,1.7480221951605576e-06
BEN,2000-2019,1.7308023538710279e-06,2.3971568867017331e-06
CMR,2000-2019,-1.9986025063642114e-07,1.5781202421075706e-06
ATA,2000-2019,nan,nan
VAT,2000-2019,8.4447611033080424e-07,2.7910681617221729e-06
SLE,2000-2019,5.2387577997296241e-08,1.3941415311093032e-06
ERI,2000-2019,-1.7682623999576893e-07,1.699475112277511e-06
RWA,2000-2019,-2.4984716718185021e-06,2.5759777556639687e-06
COK,2000-2019,-1.278027397795833e-06,2.1841602888894618e-06
MYT,2000-2019,-2.0124763792052155e-06,2.8112752124786663e-06
KGZ,2000-2019,6.7644934994678464e-06,5.9778781987933064e-06
MNG,2000-2019,1.7347583265256773e-05,1.1908033095607172e-05
SEN,2000-2019,1.1841475337692586e-06,2.3869006202267301e-06
MWI,2000-2019,-1.8615733651812046e-06,2.2347379424059322e-06
FUND-CAM,2000-2019,-2.2203708845479416e-06,2.0139900735325898e-06
CCK,2000-2019,-1.1660023200469609e-06,2.6765070834742907e-06
COL,2000-2019,-1.3995490152771538e-06,1.8280087394451975e-06
ABW,2000-2019,2.0227859219754511e-07,1.650758461882719e-06
BEL,2000-2019,6.8804993096094939e-06,6.0759287821563184e-06
WLF,2000-2019,-2.0191584451715945e-06,2.8544882068129061e-06
DJI,2000-2019,5.1778311587807674e-06,5.4374665737712673e-06
VCT,2000-2019,-2.0985500089110323e-06,3.2103297842086336e-06
BRA,2000-2019,-3.0541342788549558e-06,2.8632001478817445e-06
